Materia,Seriacion
1INGI,NAP
1QUB,NAP
1ALL,NAP
1FUC,NAP
1ALG,NAP
1MAD,NAP
1EOEI,NAP
2INGII,INGI
2DHV,NAP
2CAD,NAP
2POO,ALG
2ESD,ALG
2ISAC,NAP
2PDS,NAP
3INGIII,INGII
3IEMC,DHV
3CAI,CAD
3PRV,POO
3EDA,ESD
3FBD,NAP
3IRS,PDS
4INGIV,INGIII
4HCC,NAP
4MPI,CAI
4PRW,PRV
4DII,NAP
4BAD,FBD
4ELM,NAP
5INGV,INGIV
5ETP,NAP
5MPII,MPI
5PCS,PRW
5FUR,NAP
5ARS,IRS
5SID,ELM
6INGVI,INGV
6HAG,NAP
6PRE,NAP
6ARC,SID
6RED,NAP
6CAS,ARS
6ESTI,PRW-FBD
7INGVII,INGVI
7LEAD,NAP
7LEA,PRW
7SIO,RED-PCS
7PRC,PCS
7PRS,CAS
7ESTII,ESTI
8INGVIII,INGVII
8PRMI,PRC
8COI,LEA
8INA,PRE-MAD
8AFS,PRS
8MAS,PRS
8MDD,DII
9INGIX,INGVIII
9PRMII,PRMI
9SEI,PRMI
9MID,BAD
9APS,AFS
9SOA,SIO-PRC
9EOEII,EOEI
